"word","lang"
"abandon","en"
"ability","en"
"able","en"
"abortion","en"
"about","en"
"above","en"
"abroad","en"
"absence","en"
"absolute","en"
"absolutely","en"
"absorb","en"
"abuse","en"
"academic","en"
"accept","en"
"access","en"
"accident","en"
"accompany","en"
"accomplish","en"
"according","en"
"account","en"
"accurate","en"
"accuse","en"
"achieve","en"
"achievement","en"
"acid","en"
"acknowledge","en"
"acquire","en"
"across","en"
"action","en"
"active","en"
"activist","en"
"activity","en"
"actor","en"
"actress","en"
"actual","en"
"actually","en"
"adapt","en"
"addition","en"
"additional","en"
"address","en"
"adequate","en"
"adjust","en"
"adjustment","en"
"administration","en"
"administrator","en"
"admire","en"
"admission","en"
"admit","en"
"adolescent","en"
"adopt","en"
"adult","en"
"advance","en"
"advanced","en"
"advantage","en"
"adventure","en"
"advertising","en"
"advice","en"
"advise","en"
"adviser","en"
"advocate","en"
"affair","en"
"affect","en"
"afford","en"
"afraid","en"
"African","en"
"African-American","en"
"after","en"
"afternoon","en"
"again","en"
"against","en"
"agency","en"
"agenda","en"
"agent","en"
"aggressive","en"
"agree","en"
"agreement","en"
"agricultural","en"
"ahead","en"
"aide","en"
"AIDS","en"
"aircraft","en"
"airline","en"
"airport","en"
"album","en"
"alcohol","en"
"alive","en"
"alliance","en"
"allow","en"
"ally","en"
"almost","en"
"alone","en"
"along","en"
"already","en"
"also","en"
"alter","en"
"alternative","en"
"although","en"
"always","en"
"amazing","en"
"American","en"
"among","en"
"amount","en"
"analysis","en"
"analyst","en"
"analyze","en"
"ancient","en"
"anger","en"
"angle","en"
"angry","en"
"animal","en"
"anniversary","en"
"announce","en"
"annual","en"
"another","en"
"answer","en"
"anticipate","en"
"anxiety","en"
"anybody","en"
"anymore","en"
"anyone","en"
"anything","en"
"anyway","en"
"anywhere","en"
"apart","en"
"apartment","en"
"apparent","en"
"apparently","en"
"appeal","en"
"appear","en"
"appearance","en"
"apple","en"
"application","en"
"apply","en"
"appoint","en"
"appointment","en"
"appreciate","en"
"approach","en"
"appropriate","en"
"approval","en"
"approve","en"
"approximately","en"
"Arab","en"
"architect","en"
"area","en"
"argue","en"
"argument","en"
"arise","en"
"armed","en"
"army","en"
"around","en"
"arrange","en"
"arrangement","en"
"arrest","en"
"arrival","en"
"arrive","en"
"article","en"
"artist","en"
"artistic","en"
"Asian","en"
"aside","en"
"asleep","en"
"aspect","en"
"assault","en"
"assert","en"
"assess","en"
"assessment","en"
"asset","en"
"assign","en"
"assignment","en"
"assist","en"
"assistance","en"
"assistant","en"
"associate","en"
"association","en"
"assume","en"
"assumption","en"
"assure","en"
"athlete","en"
"athletic","en"
"atmosphere","en"
"attach","en"
"attack","en"
"attempt","en"
"attend","en"
"attention","en"
"attitude","en"
"attorney","en"
"attract","en"
"attractive","en"
"attribute","en"
"audience","en"
"author","en"
"authority","en"
"auto","en"
"available","en"
"average","en"
"avoid","en"
"award","en"
"aware","en"
"awareness","en"
"away","en"
"awful","en"
"baby","en"
"back","en"
"background","en"
"badly","en"
"bake","en"
"balance","en"
"ball","en"
"band","en"
"bank","en"
"barely","en"
"barrel","en"
"barrier","en"
"base","en"
"baseball","en"
"basic","en"
"basically","en"
"basis","en"
"basket","en"
"basketball","en"
"bathroom","en"
"battery","en"
"battle","en"
"beach","en"
"bean","en"
"bear","en"
"beat","en"
"beautiful","en"
"beauty","en"
"because","en"
"become","en"
"bedroom","en"
"beer","en"
"before","en"
"begin","en"
"beginning","en"
"behavior","en"
"behind","en"
"being","en"
"belief","en"
"believe","en"
"bell","en"
"belong","en"
"below","en"
"belt","en"
"bench","en"
"bend","en"
"beneath","en"
"benefit","en"
"beside","en"
"besides","en"
"best","en"
"better","en"
"between","en"
"beyond","en"
"Bible","en"
"bike","en"
"bill","en"
"billion","en"
"bind","en"
"biological","en"
"bird","en"
"birth","en"
"birthday","en"
"bite","en"
"black","en"
"blade","en"
"blame","en"
"blanket","en"
"blind","en"
"block","en"
"blood","en"
"blow","en"
"blue","en"
"board","en"
"boat","en"
"body","en"
"bomb","en"
"bombing","en"
"bond","en"
"bone","en"
"book","en"
"boom","en"
"boot","en"
"border","en"
"born","en"
"borrow","en"
"boss","en"
"both","en"
"bother","en"
"bottle","en"
"bottom","en"
"boundary","en"
"bowl","en"
"boyfriend","en"
"brain","en"
"branch","en"
"brand","en"
"bread","en"
"break","en"
"breakfast","en"
"breast","en"
"breath","en"
"breathe","en"
"brick","en"
"bridge","en"
"brief","en"
"briefly","en"
"bright","en"
"brilliant","en"
"bring","en"
"British","en"
"broad","en"
"broken","en"
"brother","en"
"brown","en"
"brush","en"
"buck","en"
"budget","en"
"build","en"
"building","en"
"bullet","en"
"bunch","en"
"burden","en"
"burn","en"
"bury","en"
"business","en"
"busy","en"
"butter","en"
"button","en"
"buyer","en"
"cabin","en"
"cabinet","en"
"cable","en"
"cake","en"
"calculate","en"
"call","en"
"camera","en"
"camp","en"
"campaign","en"
"campus","en"
"Canadian","en"
"cancer","en"
"candidate","en"
"capability","en"
"capable","en"
"capacity","en"
"capital","en"
"captain","en"
"capture","en"
"carbon","en"
"card","en"
"care","en"
"career","en"
"careful","en"
"carefully","en"
"carrier","en"
"carry","en"
"case","en"
"cash","en"
"cast","en"
"catch","en"
"category","en"
"Catholic","en"
"cause","en"
"ceiling","en"
"celebrate","en"
"celebration","en"
"celebrity","en"
"cell","en"
"center","en"
"central","en"
"century","en"
"ceremony","en"
"certain","en"
"certainly","en"
"chain","en"
"chair","en"
"chairman","en"
"challenge","en"
"chamber","en"
"champion","en"
"championship","en"
"chance","en"
"change","en"
"changing","en"
"channel","en"
"chapter","en"
"character","en"
"characteristic","en"
"characterize","en"
"charge","en"
"charity","en"
"chart","en"
"chase","en"
"cheap","en"
"check","en"
"cheek","en"
"cheese","en"
"chef","en"
"chemical","en"
"chest","en"
"chicken","en"
"chief","en"
"child","en"
"childhood","en"
"Chinese","en"
"chip","en"
"chocolate","en"
"choice","en"
"cholesterol","en"
"choose","en"
"Christian","en"
"Christmas","en"
"church","en"
"cigarette","en"
"circle","en"
"circumstance","en"
"cite","en"
"citizen","en"
"city","en"
"civil","en"
"civilian","en"
"claim","en"
"class","en"
"classic","en"
"classroom","en"
"clean","en"
"clear","en"
"clearly","en"
"client","en"
"climate","en"
"climb","en"
"clinic","en"
"clinical","en"
"clock","en"
"close","en"
"closely","en"
"closer","en"
"clothes","en"
"clothing","en"
"cloud","en"
"club","en"
"clue","en"
"cluster","en"
"coach","en"
"coal","en"
"coalition","en"
"coast","en"
"coat","en"
"code","en"
"coffee","en"
"cognitive","en"
"cold","en"
"collapse","en"
"colleague","en"
"collect","en"
"collection","en"
"collective","en"
"college","en"
"colonial","en"
"color","en"
"column","en"
"combination","en"
"combine","en"
"come","en"
"comedy","en"
"comfort","en"
"comfortable","en"
"command","en"
"commander","en"
"comment","en"
"commercial","en"
"commission","en"
"commit","en"
"commitment","en"
"committee","en"
"common","en"
"communicate","en"
"communication","en"
"community","en"
"company","en"
"compare","en"
"comparison","en"
"compete","en"
"competition","en"
"competitive","en"
"competitor","en"
"complain","en"
"complaint","en"
"complete","en"
"completely","en"
"complex","en"
"complicated","en"
"component","en"
"compose","en"
"composition","en"
"comprehensive","en"
"computer","en"
"concentrate","en"
"concentration","en"
"concept","en"
"concern","en"
"concerned","en"
"concert","en"
"conclude","en"
"conclusion","en"
"concrete","en"
"condition","en"
"conduct","en"
"conference","en"
"confidence","en"
"confident","en"
"confirm","en"
"conflict","en"
"confront","en"
"confusion","en"
"Congress","en"
"congressional","en"
"connect","en"
"connection","en"
"consciousness","en"
"consensus","en"
"consequence","en"
"conservative","en"
"consider","en"
"considerable","en"
"consideration","en"
"consist","en"
"consistent","en"
"constant","en"
"constantly","en"
"constitute","en"
"constitutional","en"
"construct","en"
"construction","en"
"consultant","en"
"consume","en"
"consumer","en"
"consumption","en"
"contact","en"
"contain","en"
"container","en"
"contemporary","en"
"content","en"
"contest","en"
"context","en"
"continue","en"
"continued","en"
"contract","en"
